X	Tackles_TotalTackles	Tackles_DribbledPast	Tackles_TotalAttemptedTackles	Interception_Total	Fouls_Fouled	Fouls_Fouls	Cards_Yellow	Cards_Red	OffSides_CaughtOffside	Clearances_Total	Blocks_ShotsBlocked	Blocks_CrossesBlocked	Blocks_PassesBlocked	Saves_Total	Saves_SixYardBox	Saves_PenaltyArea	Saves_OutOfBox	Pts
Marseille18	19.4	12	31.4	11.6	12.5	13.1	2.1	0.1	2.1	18.7	2.7	2.3	7.3	2.5	0.2	1.3	1.1	77
Monaco18	18.9	11.5	30.4	13.1	13.6	13.4	1.8	0.1	1.9	24.5	2.8	2.1	7.6	2.7	0.1	1.3	1.3	80
Montpellier18	17.9	9.5	27.4	13.2	13.9	11.8	1.9	0	2.2	21.5	2.6	2.1	6.5	2.2	0.1	1.2	0.9	51
Nice18	15.5	9.1	24.6	11.4	14	11.7	2.1	0.1	1.7	15.8	3	2.6	6.7	2.8	0.1	1.4	1.2	54
Bordeaux18	18.4	11.5	29.9	12.2	12.4	14	1.9	0.1	2	20.7	2.9	2.1	6.4	2.2	0	1	1.2	55
Rennes18	17.3	12.7	30.1	10.9	13.8	12.6	1.6	0.1	2.3	24.5	2.3	2.7	8.3	2.8	0.2	1.6	1	58
Saint-Etienne18	17.8	11.5	29.4	10.6	12.9	13.4	1.9	0.2	2.4	22.5	3.2	3.2	7.4	3.4	0.2	2	1.2	55
Nantes18	19.9	10.2	30.1	11.2	10.8	12.9	1.6	0.1	2.2	25.7	3.6	2.7	9.4	2.6	0.2	1.4	1.1	52
Guingamp18	16.8	11.6	28.5	12.5	13.6	13.1	1.7	0.1	2.6	24	3.2	2.1	6.5	3	0.1	1.5	1.4	47
Dijon18	18	11.5	29.5	14.3	12.4	12.9	1.8	0.1	1.9	23.4	3.1	2.6	7	3.4	0.1	1.9	1.5	48
Amiens18	17.3	10	27.3	13.7	12.1	13.3	1.8	0.1	1.8	27.7	4.3	2.5	7.4	3.6	0.2	1.7	1.7	45
Toulouse18	18.4	10.7	29.1	12.6	13	15.5	2.5	0.1	2	22.4	2.7	2.4	7.7	2.8	0.1	1.6	1.1	37
Lille18	17.9	9.9	27.9	12.9	11.3	12.7	1.6	0.2	2.3	19.3	2.8	1.5	7.2	3.2	0.1	1.9	1.2	38
Caen18	19.2	12.3	31.5	12.6	11.4	13.8	1.8	0.1	2	23.6	2.6	2.1	9.3	2.7	0	1.5	1.2	38
Strasbourg18	19.7	11	30.7	13.5	11.5	13.8	1.9	0.1	2	21.3	2.4	2.1	7.1	2.8	0.2	1.5	1.1	38
Angers18	17.4	13.7	31.1	10.8	11.5	12.9	1.8	0.1	1.6	20.3	2.1	2.4	8.4	2.4	0.1	1.3	1	41
